numeroOrden,masaAcumulada,densidad,temperatura,caudal
154,1,1,1,11
154,2,1,1,11
154,3,1,1,11
154,4,1,1,11
154,5,1,1,11
154,6,1,1,11
154,7,1,1,11
154,8,1,1,11
154,9,1,1,11
154,10,1,1,11
154,11,1,1,11
154,12,1,1,11
154,13,1,1,11
154,14,1,1,11
154,15,1,1,11
154,16,1,1,11
154,17,1,1,11
154,18,1,1,11
154,19,1,1,11
154,20,1,1,11
154,21,1,1,11
154,22,1,1,11
154,23,1,1,11
154,24,1,1,11
154,25,1,1,11
154,26,1,1,11
154,27,1,1,11
154,28,1,1,11
154,29,1,1,11
154,30,1,1,11
154,31,1,1,11
154,32,1,1,11
154,33,1,1,11
154,34,1,1,11
154,35,1,1,11
154,36,1,1,11
154,37,1,1,11
154,38,1,1,11
154,39,1,1,11
154,40,1,1,11
154,41,1,1,11
154,42,1,1,11
154,43,1,1,11
154,44,1,1,11
154,45,1,1,11
154,46,1,1,11
154,47,1,1,11
154,48,1,1,11
154,49,1,1,11
154,50,1,1,11
154,51,1,1,11
154,52,1,1,11
154,53,1,1,11
154,54,1,1,11
154,55,1,1,11
154,56,1,1,11
154,57,1,1,11
154,58,1,1,11
154,59,1,1,11
154,60,1,1,11
154,61,1,1,11
154,62,1,1,11
154,63,1,1,11
154,64,1,1,11
154,65,1,1,11
154,66,1,1,11
154,67,1,1,11
154,68,1,1,11
154,69,1,1,11
154,70,1,1,11
154,71,1,1,11
154,72,1,1,11
154,73,1,1,11
154,74,1,1,11
154,75,1,1,11
154,76,1,1,11
154,77,1,1,11
154,78,1,1,11
154,79,1,1,11
154,80,1,1,11
154,81,1,1,11
154,82,1,1,11
154,83,1,1,11
154,84,1,1,11
154,85,1,1,11
154,86,1,1,11
154,87,1,1,11
154,88,1,1,11
154,89,1,1,11
154,90,1,1,11
154,91,1,1,11
154,92,1,1,11
154,93,1,1,11
154,94,1,1,11
154,95,1,1,11
154,96,1,1,11
154,97,1,1,11
154,98,1,1,11
154,99,1,1,11
154,100,1,1,11
154,101,1,1,11
154,102,1,1,11
154,103,1,1,11
154,104,1,1,11
154,105,1,1,11
154,106,1,1,11
154,107,1,1,11
154,108,1,1,11
154,109,1,1,11
154,110,1,1,11
154,111,1,1,11
154,112,1,1,11
154,113,1,1,11
154,114,1,1,11
154,115,1,1,11
154,116,1,1,11
154,117,1,1,11
154,118,1,1,11
154,119,1,1,11
154,120,1,1,11
154,121,1,1,11
154,122,1,1,11
154,123,1,1,11
154,124,1,1,11
154,125,1,1,11
154,126,1,1,11
154,127,1,1,11
154,128,1,1,11
154,129,1,1,11
154,130,1,1,11
154,131,1,1,11
154,132,1,1,11
154,133,1,1,11
154,134,1,1,11
154,135,1,1,11
154,136,1,1,11
154,137,1,1,11
154,138,1,1,11
154,139,1,1,11
154,140,1,1,11
154,141,1,1,11
154,142,1,1,11
154,143,1,1,11
154,144,1,1,11
154,145,1,1,11
154,146,1,1,11
154,147,1,1,11
154,148,1,1,11
154,149,1,1,11
154,150,1,1,11
154,151,1,1,11
154,152,1,1,11
154,153,1,1,11
154,154,1,1,11
154,155,1,1,11
154,156,1,1,11
154,157,1,1,11
154,158,1,1,11
154,159,1,1,11
154,160,1,1,11
154,161,1,1,11
154,162,1,1,11
154,163,1,1,11
154,164,1,1,11
154,165,1,1,11
154,166,1,1,11
154,167,1,1,11
154,168,1,1,11
154,169,1,1,11
154,170,1,1,11
154,171,1,1,11
154,172,1,1,11
154,173,1,1,11
154,174,1,1,11
154,175,1,1,11
154,176,1,1,11
154,177,1,1,11
154,178,1,1,11
154,179,1,1,11
154,180,1,1,11
154,181,1,1,11
154,182,1,1,11
154,183,1,1,11
154,184,1,1,11
154,185,1,1,11
154,186,1,1,11
154,187,1,1,11
154,188,1,1,11
154,189,1,1,11
154,190,1,1,11
154,191,1,1,11
154,192,1,1,11
154,193,1,1,11
154,194,1,1,11
154,195,1,1,11
154,196,1,1,11
154,197,1,1,11
154,198,1,1,11
154,199,1,1,11
154,200,1,1,11
154,201,1,1,11
154,202,1,1,11
154,203,1,1,11
154,204,1,1,11
154,205,1,1,11
154,206,1,1,11
154,207,1,1,11
154,208,1,1,11
154,209,1,1,11
154,210,1,1,11
154,211,1,1,11
154,212,1,1,11
154,213,1,1,11
154,214,1,1,11
154,215,1,1,11
154,216,1,1,11
154,217,1,1,11
154,218,1,1,11
154,219,1,1,11
154,220,1,1,11
154,221,1,1,11
154,222,1,1,11
154,223,1,1,11
154,224,1,1,11
154,225,1,1,11
154,226,1,1,11
154,227,1,1,11
154,228,1,1,11
154,229,1,1,11
154,230,1,1,11
154,231,1,1,11
154,232,1,1,11
154,233,1,1,11
154,234,1,1,11
154,235,1,1,11
154,236,1,1,11
154,237,1,1,11
154,238,1,1,11
154,239,1,1,11
154,240,1,1,11
154,241,1,1,11
154,242,1,1,11
154,243,1,1,11
154,244,1,1,11
154,245,1,1,11
154,246,1,1,11
154,247,1,1,11
154,248,1,1,11
154,249,1,1,11
154,250,1,1,11
154,251,1,1,11
154,252,1,1,11
154,253,1,1,11
154,254,1,1,11
154,255,1,1,11
154,256,1,1,11
154,257,1,1,11
154,258,1,1,11
154,259,1,1,11
154,260,1,1,11
154,261,1,1,11
154,262,1,1,11
154,263,1,1,11
154,264,1,1,11
154,265,1,1,11
154,266,1,1,11
154,267,1,1,11
154,268,1,1,11
154,269,1,1,11
154,270,1,1,11
154,271,1,1,11
154,272,1,1,11
154,273,1,1,11
154,274,1,1,11
154,275,1,1,11
154,276,1,1,11
154,277,1,1,11
154,278,1,1,11
154,279,1,1,11
154,280,1,1,11
154,281,1,1,11
154,282,1,1,11
154,283,1,1,11
154,284,1,1,11
154,285,1,1,11
154,286,1,1,11
154,287,1,1,11
154,288,1,1,11
154,289,1,1,11
154,290,1,1,11
154,291,1,1,11
154,292,1,1,11
154,293,1,1,11
154,294,1,1,11
154,295,1,1,11
154,296,1,1,11
154,297,1,1,11
154,298,1,1,11
154,299,1,1,11
154,300,1,1,11
154,301,1,1,11
154,302,1,1,11
154,303,1,1,11
154,304,1,1,11
154,305,1,1,11
154,306,1,1,11
154,307,1,1,11
154,308,1,1,11
154,309,1,1,11
154,310,1,1,11
154,311,1,1,11
154,312,1,1,11
154,313,1,1,11
154,314,1,1,11
154,315,1,1,11
154,316,1,1,11
154,317,1,1,11
154,318,1,1,11
154,319,1,1,11
154,320,1,1,11
154,321,1,1,11
154,322,1,1,11
154,323,1,1,11
154,324,1,1,11
154,325,1,1,11
154,326,1,1,11
154,327,1,1,11
154,328,1,1,11
154,329,1,1,11
154,330,1,1,11
154,331,1,1,11
154,332,1,1,11
154,333,1,1,11
154,334,1,1,11
154,335,1,1,11
154,336,1,1,11
154,337,1,1,11
154,338,1,1,11
154,339,1,1,11
154,340,1,1,11
154,341,1,1,11
154,342,1,1,11
154,343,1,1,11
154,344,1,1,11
154,345,1,1,11
154,346,1,1,11
154,347,1,1,11
154,348,1,1,11
154,349,1,1,11
154,350,1,1,11
154,351,1,1,11
154,352,1,1,11
154,353,1,1,11
154,354,1,1,11
154,355,1,1,11
154,356,1,1,11
154,357,1,1,11
154,358,1,1,11
154,359,1,1,11
154,360,1,1,11
154,361,1,1,11
154,362,1,1,11
154,363,1,1,11
154,364,1,1,11
154,365,1,1,11
154,366,1,1,11
154,367,1,1,11
154,368,1,1,11
154,369,1,1,11
154,370,1,1,11
154,371,1,1,11
154,372,1,1,11
154,373,1,1,11
154,374,1,1,11
154,375,1,1,11
154,376,1,1,11
154,377,1,1,11
154,378,1,1,11
154,379,1,1,11
154,380,1,1,11
154,381,1,1,11
154,382,1,1,11
154,383,1,1,11
154,384,1,1,11
154,385,1,1,11
154,386,1,1,11
154,387,1,1,11
154,388,1,1,11
154,389,1,1,11
154,390,1,1,11
154,391,1,1,11
154,392,1,1,11
